date,so2,no2,pm10,pm2.5
30/8/15,19.082,3.667,78.184,34.575
31/8/15,19.571,5.251,65.799,31.876
1/9/15,19.955,7.998,74.409,35.823
2/9/15,20.268,5.426,78.046,39.487
3/9/15,19.307,3.984,64.253,36.084
4/9/15,21.038,6.28,58.912,29.233
5/9/15,21.05,8.702,77.431,37.405
6/9/15,19.194,8.58,67.427,31.956
7/9/15,21.136,9.161,51.601,25.662
8/9/15,19.962,7.326,nan,nan
9/9/15,20.461,6.453,nan,nan
10/9/15,20.232,8.221,nan,nan
11/9/15,18.643,9.984,nan,nan
12/9/15,17.581,8.786,nan,nan
13/9/15,19.064,7.993,nan,nan
14/9/15,18.971,16.113,nan,nan
15/9/15,17.444,11.108,nan,nan
16/9/15,18.676,12.922,nan,nan
17/9/15,18.288,10.92,nan,nan
18/9/15,19.75,10.437,nan,nan
19/9/15,21.578,15.471,nan,nan
20/9/15,19.102,11.946,nan,nan
21/9/15,18.317,13.417,nan,nan
22/9/15,18.703,16.526,nan,nan
23/9/15,18.465,18.95,nan,nan
24/9/15,18.29,24.071,nan,nan
25/9/15,17.383,16.405,nan,nan
26/9/15,17.191,18.526,nan,nan
27/9/15,16.026,10.963,nan,nan
28/9/15,17.798,7.153,nan,nan
29/9/15,19.232,16.41,nan,nan
30/9/15,15.378,19.708,nan,nan
1/10/15,15.132,15.69,nan,nan
2/10/15,15.926,12.548,nan,nan
3/10/15,16.028,12.89,nan,nan
4/10/15,15.33,15.035,nan,nan
5/10/15,15.578,13.285,nan,nan
6/10/15,16.958,10.98,nan,nan
7/10/15,17.509,11.913,nan,nan
8/10/15,17.269,10.28,nan,nan
9/10/15,nan,nan,nan,nan
10/10/15,nan,nan,nan,nan
11/10/15,nan,nan,nan,nan
12/10/15,nan,nan,nan,nan
13/10/15,nan,nan,nan,nan
14/10/15,nan,nan,nan,nan
15/10/15,nan,nan,nan,nan
16/10/15,nan,nan,nan,nan
17/10/15,nan,nan,nan,nan
18/10/15,nan,nan,nan,nan
19/10/15,nan,nan,nan,nan
20/10/15,nan,nan,nan,nan
21/10/15,nan,nan,nan,nan
22/10/15,nan,nan,nan,nan
23/10/15,nan,nan,nan,nan
24/10/15,7.488,13.955,nan,nan
25/10/15,8.008,10.066,nan,nan
26/10/15,nan,nan,nan,nan
27/10/15,nan,nan,nan,nan
28/10/15,nan,nan,nan,nan
29/10/15,nan,nan,nan,nan
30/10/15,nan,nan,nan,nan
31/10/15,nan,nan,nan,nan
1/11/15,nan,nan,nan,nan
2/11/15,nan,nan,nan,nan
3/11/15,nan,nan,nan,nan
4/11/15,nan,nan,nan,nan
5/11/15,nan,nan,nan,nan
6/11/15,nan,nan,nan,nan
7/11/15,nan,nan,nan,nan
8/11/15,nan,nan,nan,nan
9/11/15,nan,nan,nan,nan
10/11/15,6.001,nan,nan,nan
11/11/15,11.183,nan,nan,nan
12/11/15,10.502,nan,nan,nan
13/11/15,10.487,nan,nan,nan
14/11/15,9.468,nan,nan,nan
15/11/15,10.196,nan,nan,nan
16/11/15,11.955,nan,nan,nan
17/11/15,15.188,nan,nan,nan
18/11/15,14.678,nan,nan,nan
19/11/15,18.489,nan,nan,nan
20/11/15,13.491,nan,nan,nan
21/11/15,14.824,5.128,nan,nan
22/11/15,12.967,nan,nan,nan
23/11/15,15.136,12.642,nan,nan
24/11/15,15.626,5.562,nan,nan
25/11/15,15.743,7.115,nan,nan
26/11/15,15.954,4.004,nan,nan
27/11/15,15.504,nan,nan,nan
28/11/15,17.391,nan,nan,nan
29/11/15,nan,nan,nan,nan
30/11/15,nan,7.954,nan,nan
1/12/15,4.47,5.945,nan,nan
2/12/15,6.119,9.413,nan,nan
3/12/15,4.429,8.383,nan,nan
4/12/15,4.209,5.899,nan,nan
5/12/15,5.087,9.263,nan,nan
6/12/15,5.121,4.505,nan,nan
7/12/15,3.139,7.97,nan,nan
8/12/15,2.903,8.022,nan,nan
9/12/15,5.193,7.484,nan,nan
10/12/15,5.839,13.664,nan,nan
11/12/15,3.397,9.926,nan,nan
12/12/15,4.813,6.745,nan,nan
13/12/15,4.531,6.062,nan,nan
14/12/15,3.165,7.723,nan,nan
15/12/15,3.804,8.225,nan,nan
16/12/15,5.515,10.23,nan,nan
17/12/15,5.667,11.06,nan,nan
18/12/15,2.875,8.836,nan,nan
19/12/15,2.648,9.963,nan,nan
20/12/15,nan,6.407,nan,nan
21/12/15,2.351,5.378,nan,nan
22/12/15,2.866,6.66,nan,nan
23/12/15,4.766,16.812,nan,nan
24/12/15,3.833,14.927,nan,nan
25/12/15,2.198,3.214,nan,nan
26/12/15,2.324,6.97,nan,nan
27/12/15,2.55,8.849,nan,nan
28/12/15,2.9,9.404,nan,nan
29/12/15,3.352,8.088,nan,nan
30/12/15,4.08,1.476,nan,nan
31/12/15,2.978,9.358,nan,nan
