,date,pm10_x,so2_x,no2_x,o3_x,pm10_y,so2_y,no2_y,o3_y,pm10_x,so2_x,no2_x,o3_x,pm10_y,so2_y,no2_y,o3_y
71,4/6/16,,0.001,10.82,12.81,,0.001,8.35,1.7,26.14,0.001,6.06,1.56,50.42,0.001,15.11,0.0
72,5/6/16,,,,,,0.001,31.97,4.97,56.63,0.001,8.66,2.13,90.41,0.001,11.68,0.0
73,1/7/16,,0.001,12.82,3.27,,0.001,20.13,2.41,34.61,0.001,6.09,2.12,79.37,0.001,7.71,0.001
74,2/7/16,,0.001,12.96,3.53,,0.001,21.42,2.96,35.07,0.001,8.14,2.55,66.76,0.001,8.28,0.001
75,3/7/16,,0.001,14.04,1.82,,0.001,19.08,0.0,43.44,0.001,7.82,0.001,66.88,0.001,6.49,0.001
76,4/7/16,,0.001,10.49,2.18,,0.001,24.12,0.001,19.32,0.001,4.63,0.001,75.27,0.001,6.46,0.001
77,1/8/16,,0.001,12.52,1.33,,0.001,19.17,0.001,48.59,0.001,6.45,0.001,48.59,0.001,6.45,0.001
78,2/8/16,,0.001,10.57,3.9,,0.001,18.54,0.001,23.24,0.001,2.32,0.001,48.59,0.001,8.41,0.001
79,3/8/16,,0.001,13.79,1.71,,0.001,25.63,4.42,46.89,0.001,6.36,1.28,92.99,0.001,8.39,1.1
80,4/8/16,,0.001,10.41,1.45,,0.001,1.46,0.001,41.48,0.001,6.39,0.001,93.27,0.001,8.41,0.001
81,5/8/16,,,,,,0.001,13.16,2.41,23.17,0.001,1.99,1.97,63.67,0.001,3.83,14.32
82,1/9/16,,0.001,0.5,4.6,,0.001,24.57,2.84,53.91,0.001,13.86,3.25,49.63,0.001,0.29,1.1
83,2/9/16,,0.001,10.7,3.28,,0.001,18.41,2.61,41.36,0.001,0.41,3.82,61.23,0.001,1.42,1.69
84,3/9/16,,0.001,13.51,2.07,,0.001,16.07,2.96,46.34,0.001,16.17,0.001,65.25,0.001,15.94,0.001
85,4/9/16,,0.001,10.89,3.16,,0.001,14.35,2.67,53.62,0.001,23.93,0.001,58.94,0.001,15.54,0.001
86,1/10/16,,0.001,13.6,2.17,,0.001,13.06,2.68,47.01,0.001,14.87,0.0,75.66,0.001,16.4,0.001
87,2/10/16,,0.001,8.65,1.93,,0.001,15.55,5.23,31.06,,23.78,,62.23,0.001,20.41,0.001
88,3/10/16,,0.001,10.07,3.64,,0.001,18.9,2.55,42.2,0.001,17.32,1.41,,0.001,3.31,0.001
89,4/10/16,,0.001,8.25,1.21,,0.001,20.83,0.001,,0.001,11.17,0.001,24.33,0.001,11.17,2.32
90,5/10/16,,0.001,14.11,1.21,,0.001,17.77,4.94,44.65,0.001,19.93,1.21,44.65,0.001,19.93,1.09
91,1/11/16,,0.001,11.95,14.02,,0.001,15.8,7.72,34.13,0.001,15.77,0.001,74.34,0.001,17.38,0.001
92,2/11/16,,0.001,5.76,6.4,,0.001,14.8,17.04,31.91,0.001,16.61,0.001,63.12,0.001,18.08,0.001
93,3/11/16,,0.001,12.01,5.43,,0.001,9.68,9.69,62.39,0.001,24.78,1.27,49.92,0.001,12.62,0.001
94,4/11/16,,0.001,12.81,5.69,,1.88,17.49,4.53,27.68,1.86,12.24,1.27,26.67,0.001,13.97,0.0
95,1/12/16,,1.6,7.35,0.0,,1.87,12.54,0.0,81.74,0.001,16.38,0.0,81.74,0.001,15.92,0.0
96,2/12/16,,2.0,13.06,2.4,,2.04,21.82,0.0,21.47,0.001,5.64,0.0,81.59,0.001,10.95,0.0
97,4/1/17,,0.001,5.3,0.01,,0.001,5.32,4.21,69.32,0.001,6.36,0.01,,0.001,8.6,0.01
98,5/1/17,,0.001,5.66,0.01,,0.001,8.5,0.01,18.45,0.001,8.7,0.01,50.51,0.001,14.4,0.01
99,1/2/17,,0.001,9.6,34.16,,0.001,10.0,31.63,30.36,0.001,15.17,0.01,59.03,0.001,15.43,0.01
